witness,year,idx,id,raw_id,is_kalend,n_words,SCOT,SCOT_AMBIG,INSULAR,MIDLAND,MUNSTER,TERRITORY,IONA,sha1
AT,1150,1,AT1150.1,T1150.1,0,13,0,0,0,0,0,0,0,d35124f9a4c5
AT,1150,2,AT1150.2,T1150.2,0,19,0,0,0,0,0,0,0,bb7c58c6bc46
AT,1150,3,AT1150.3,T1150.3,0,12,0,0,0,0,0,0,0,2ec144719902
AT,1150,4,AT1150.4,T1150.4,0,9,0,0,0,0,0,0,0,2656b103c81c
AT,1150,5,AT1150.5,T1150.5,0,14,0,0,0,0,0,0,0,9a3988eb6dc1
AT,1150,6,AT1150.6,T1150.6,0,11,0,0,0,0,0,0,0,5ab6fc64e4a9
AT,1151,0,AT1151.0,T1151.0,1,17,0,0,0,0,0,0,0,e34af3bd266a
AT,1151,1,AT1151.1,T1151.1,0,8,0,0,0,0,0,0,0,b9e2a77bbdab
AT,1151,2,AT1151.2,T1151.2,0,33,0,0,0,0,0,0,0,4c4f382292c5
AT,1151,3,AT1151.3,T1151.3,0,370,0,0,0,0,0,0,0,8e93b9bc2b80
AT,1151,4,AT1151.4,T1151.4,0,35,0,0,0,0,0,0,0,2e779cb8f58c
AT,1151,5,AT1151.5,T1151.5,0,17,0,0,0,0,0,0,0,a2f937493f92
AT,1152,0,AT1152.0,T1152.0,1,12,0,0,0,0,0,0,0,1cd4e32c03f6
AT,1152,1,AT1152.1,T1152.1,0,13,0,0,0,0,0,0,0,8f4ac40f466a
AT,1152,2,AT1152.2,T1152.2,0,53,0,0,0,0,0,0,0,26eedd45d96e
AT,1152,3,AT1152.3,T1152.3,0,24,0,0,0,0,0,0,0,8a7e81108f07
AT,1152,4,AT1152.4,T1152.4,0,13,0,0,0,0,0,0,0,c4f800acb9e6
AT,1152,5,AT1152.5,T1152.5,0,33,0,0,0,0,0,0,0,566e8187ddfd
AT,1152,6,AT1152.6,T1152.6,0,72,0,0,0,0,0,0,0,7e88d732904b
AT,1152,7,AT1152.7,T1152.7,0,19,0,0,0,0,0,0,0,ff82dd8987fc
AT,1152,8,AT1152.8,T1152.8,0,8,0,1,0,0,0,0,0,fe31357091da
AT,1153,0,AT1153.0,T1153.0,1,13,0,0,0,0,0,0,0,1a4d55f2ffce
AT,1153,1,AT1153.1,T1153.1,0,24,0,0,0,0,0,0,0,4177a2193d7d
AT,1153,2,AT1153.2,T1153.2,0,15,0,0,0,0,0,0,0,df165bc9897a
AT,1153,3,AT1153.3,T1153.3,0,25,0,0,0,0,0,0,0,69b78c9c0e67
AT,1153,4,AT1153.4,T1153.4,0,13,0,1,0,0,0,0,0,1e854121fd44
AT,1153,5,AT1153.5,T1153.5,0,15,0,0,0,0,0,0,0,d60001447998
AT,1153,6,AT1153.6,T1153.6,0,48,0,0,0,0,0,0,0,be446ed02235
AT,1153,7,AT1153.7,T1153.7,0,99,0,0,0,0,0,0,0,6bfd42e88c18
AT,1153,8,AT1153.8,T1153.8,0,10,0,0,0,0,0,0,0,b410076d1095
AT,1153,9,AT1153.9,T1153.9,0,15,0,0,0,0,0,0,0,1a69b43a4c73
AT,1153,10,AT1153.10,T1153.10,0,7,0,0,0,0,0,0,0,5479b10a91ea
AT,1153,11,AT1153.11,T1153.11,0,13,0,0,0,0,0,0,0,2cc241649a93
AT,1154,0,AT1154.0,T1154.0,1,12,0,0,0,0,0,0,0,d511ee1feef1
AT,1154,1,AT1154.1,T1154.1,0,12,0,0,0,0,0,0,0,834bb811b932
AT,1154,2,AT1154.2,T1154.2,0,17,0,0,0,0,0,0,0,763c8124dbf3
AT,1154,3,AT1154.3,T1154.3,0,33,0,0,0,0,0,0,0,b62d60c4a836
AT,1154,4,AT1154.4,T1154.4,0,31,0,0,0,0,0,0,0,3e4179d0fd14
AT,1154,5,AT1154.5,T1154.5,0,8,0,0,0,0,0,0,0,4a9babf7ce85
AT,1154,6,AT1154.6,T1154.6,0,22,0,0,0,0,0,0,0,9d7d43572b08
