jd_tt,year,month,day,date_julian_cal,weekday,kind,umbral_mag,penumbral_mag,beta_deg,delta_t_s,umbral_duration_h,irish_site,moon_alt_deg,frac_umbral_visible,visible_from_ireland
1885198.18156,449,5,23,0449-05-23,1,partial umbral,0.649,1.6896,0.6207,6070.0,2.88,,-90.0,0.0,False
1885374.56921,449,11,16,0449-11-16,3,partial umbral,0.4221,1.434,0.7915,6070.0,2.27,Clonmacnoise,54.8,1.0,True
1885522.71956,450,4,13,0450-04-13,4,penumbral,-0.7418,0.3565,1.2594,6061.0,0.0,,,0.0,False
1885552.35525,450,5,12,0450-05-12,5,penumbral,-0.8496,0.2364,1.3231,6061.0,0.0,,,0.0,False
1885699.7855,450,10,7,0450-10-07,6,penumbral,-0.3693,0.6211,1.2466,6061.0,0.0,,,0.0,False
1885729.20564,450,11,5,0450-11-05,0,penumbral,-0.7255,0.2631,1.4562,6061.0,0.0,,,0.0,False
1885876.77269,451,4,2,0451-04-02,1,partial umbral,0.6617,1.737,0.5913,6052.0,2.97,Clonmacnoise,20.4,0.68,True
1886054.34831,451,9,26,0451-09-26,3,partial umbral,0.8209,1.8533,0.5509,6052.0,3.06,Armagh,17.2,0.44,True
1886231.08493,452,3,21,0452-03-21,5,total,1.6261,2.6487,0.1269,6042.0,3.66,,-90.0,0.0,False
1886408.64386,452,9,15,0452-09-15,1,total,1.5415,2.6273,0.147,6042.0,3.81,Clonmacnoise,33.1,1.0,True
1886585.66516,453,3,11,0453-03-11,3,partial umbral,0.3444,1.3257,0.8533,6033.0,2.05,Clonmacnoise,39.9,1.0,True
1886762.67833,453,9,4,0453-09-04,5,partial umbral,0.1845,1.2933,0.8029,6033.0,1.73,Clonmacnoise,26.1,1.0,True
1886910.94286,454,1,30,0454-01-30,6,penumbral,-0.1692,0.8357,1.1172,6023.0,0.0,,,0.0,False
1886940.35182,454,2,28,0454-02-28,0,penumbral,-0.8999,0.0807,1.5481,6023.0,0.0,,,0.0,False
1887087.16419,454,7,25,0454-07-25,0,penumbral,-0.362,0.6832,1.1398,6023.0,0.0,,,0.0,False
1887116.71679,454,8,24,0454-08-24,2,penumbral,-1.0651,0.015,1.455,6023.0,0.0,,,0.0,False
1887265.41076,455,1,19,0455-01-19,3,total,1.0192,2.0811,0.4289,6014.0,3.35,Armagh,41.6,1.0,True
1887441.63491,455,7,15,0455-07-15,5,total,1.1442,2.1329,0.4005,6014.0,3.33,Clonmacnoise,14.5,1.0,True
1887619.57122,456,1,9,0456-01-09,1,total,1.3558,2.471,0.2296,6004.0,3.78,Clonmacnoise,58.7,1.0,True
1887796.31515,456,7,3,0456-07-03,2,total,1.2675,2.2282,0.3505,6004.0,3.34,,-90.0,0.0,False
1887973.53494,456,12,28,0456-12-28,5,partial umbral,0.1004,1.2246,0.8431,6004.0,1.29,Clonmacnoise,59.1,1.0,True
1888121.68353,457,5,25,0457-05-25,6,penumbral,-0.8157,0.1845,1.4395,5995.0,0.0,,,0.0,False
1888151.01781,457,6,23,0457-06-23,0,penumbral,-0.1146,0.8626,1.0962,5995.0,0.0,,,0.0,False
1888297.99486,457,11,17,0457-11-17,0,penumbral,-0.5511,0.4987,1.2657,5995.0,0.0,,,0.0,False
1888327.6173,457,12,17,0457-12-17,2,penumbral,-1.0353,0.0471,1.4676,5995.0,0.0,,,0.0,False
1888476.07618,458,5,14,0458-05-14,3,partial umbral,0.4552,1.5122,0.7057,5985.0,2.53,,-90.0,0.0,False
1888652.5175,458,11,7,0458-11-07,5,partial umbral,0.8109,1.8107,0.5887,5985.0,2.93,Clonmacnoise,52.8,1.0,True
1888830.17901,459,5,3,0459-05-03,0,total,1.8255,2.9182,0.0027,5976.0,3.95,,-90.0,0.0,False
1889007.17369,459,10,27,0459-10-27,2,total,1.7111,2.7009,0.0951,5976.0,3.52,,-90.0,0.0,False
1889184.21162,460,4,21,0460-04-21,4,partial umbral,0.4648,1.5447,0.6828,5966.0,2.59,,-90.0,0.0,False
1889361.76889,460,10,16,0460-10-16,0,partial umbral,0.3937,1.4182,0.7894,5966.0,2.24,Clonmacnoise,29.6,1.0,True
1889509.0272,461,3,12,0461-03-12,0,penumbral,-0.3708,0.6389,1.2059,5957.0,0.0,,,0.0,False
1889538.46606,461,4,10,0461-04-10,1,penumbral,-0.8001,0.2302,1.3915,5957.0,0.0,,,0.0,False
1889686.47026,461,9,5,0461-09-05,2,penumbral,-0.5912,0.504,1.2017,5957.0,0.0,,,0.0,False
1889716.12453,461,10,5,0461-10-05,4,penumbral,-1.0483,0.0317,1.4649,5957.0,0.0,,,0.0,False
1889863.65278,462,3,2,0462-03-02,5,total,1.0045,1.9825,0.4919,5947.0,3.13,Clonmacnoise,43.8,1.0,True
1890040.47563,462,8,25,0462-08-25,6,partial umbral,0.7021,1.8057,0.5515,5947.0,3.11,Clonmacnoise,23.4,1.0,True
1890218.32996,463,2,19,0463-02-19,2,total,1.4858,2.4767,0.2181,5938.0,3.49,Armagh,18.1,0.48,True
1890394.57501,463,8,15,0463-08-15,4,total,1.5848,2.6477,0.1326,5938.0,3.79,Clonmacnoise,22.0,1.0,True
1890572.8644,464,2,9,0464-02-09,0,partial umbral,0.0983,1.1409,0.9236,5928.0,1.19,Clonmacnoise,12.4,0.76,True
1890748.97367,464,8,3,0464-08-03,1,partial umbral,0.2653,1.2689,0.864,5928.0,1.87,,-90.0,0.0,False
1890897.34818,464,12,29,0464-12-29,2,penumbral,-0.521,0.6036,1.148,5928.0,0.0,,,0.0,False
1891074.33326,465,6,24,0465-06-24,4,partial umbral,0.1709,1.1312,0.9614,5919.0,1.47,,-90.0,0.0,False
1891103.61776,465,7,24,0465-07-24,6,penumbral,-0.9575,0.0084,1.586,5919.0,0.0,,,0.0,False
1891251.31092,465,12,18,0465-12-18,6,partial umbral,0.7239,1.8409,0.5424,5919.0,3.11,Iona,26.2,0.84,True
1891429.008,466,6,14,0466-06-14,2,total,1.4923,2.4813,0.2109,5909.0,3.56,,-90.0,0.0,False
1891605.47193,466,12,7,0466-12-07,3,total,1.6362,2.7016,0.1082,5909.0,3.72,Clonmacnoise,57.2,1.0,True
1891783.46538,467,6,3,0467-06-03,6,partial umbral,0.7917,1.8354,0.5448,5900.0,3.12,Clonmacnoise,11.7,0.48,True
1891959.93456,467,11,27,0467-11-27,1,partial umbral,0.4305,1.441,0.7891,5900.0,2.28,Iona,5.1,0.08,True
1892107.99505,468,4,23,0468-04-23,2,penumbral,-0.8738,0.2219,1.325,5890.0,0.0,,,0.0,False
1892137.62396,468,5,23,0468-05-23,4,penumbral,-0.7018,0.3846,1.2484,5890.0,0.0,,,0.0,False
1892285.14034,468,10,17,0468-10-17,4,penumbral,-0.406,0.5884,1.264,5890.0,0.0,,,0.0,False
1892314.57274,468,11,16,0468-11-16,6,penumbral,-0.7167,0.2734,1.4507,5890.0,0.0,,,0.0,False
1892462.06349,469,4,12,0469-04-12,6,partial umbral,0.5486,1.6181,0.6513,5881.0,2.75,,-90.0,0.0,False
1892639.68662,469,10,7,0469-10-07,2,partial umbral,0.7698,1.8083,0.5746,5881.0,2.99,Clonmacnoise,40.7,1.0,True
1892816.39979,470,4,1,0470-04-01,3,total,1.7277,2.744,0.075,5871.0,3.67,Clonmacnoise,20.4,0.56,True
1892993.95858,470,9,26,0470-09-26,6,total,1.6041,2.6959,0.1138,5871.0,3.84,,-90.0,0.0,False
1893170.99724,471,3,22,0471-03-22,1,partial umbral,0.4308,1.4077,0.8078,5862.0,2.26,,-90.0,0.0,False
1893347.97851,471,9,15,0471-09-15,3,partial umbral,0.266,1.3783,0.7621,5862.0,2.05,,-90.0,0.0,False
1893496.29269,472,2,10,0472-02-10,4,penumbral,-0.2124,0.7921,1.1381,5852.0,0.0,,,0.0,False
1893525.69003,472,3,11,0472-03-11,6,penumbral,-0.8345,0.1444,1.5101,5852.0,0.0,,,0.0,False
1893672.46217,472,8,4,0472-08-04,5,penumbral,-0.4716,0.5726,1.2004,5852.0,0.0,,,0.0,False
1893702.02067,472,9,3,0472-09-03,0,penumbral,-0.9695,0.1113,1.4106,5852.0,0.0,,,0.0,False
1893850.75173,473,1,30,0473-01-30,2,partial umbral,0.9862,2.0488,0.4445,5843.0,3.33,Clonmacnoise,46.2,1.0,True
