date_julian_cal,year,weekday,type,kind,magnitude,best_site,diagnostic,why,note
0866-11-26,866,2,lunar,partial umbral,0.034,Clonmacnoise,blind,,"Moon 57.0 deg up, 1.0 of umbral phase in a dark sky"
0867-11-15,867,6,lunar,total,1.228,Iona,blind,,"Moon 13.8 deg up, 0.36 of umbral phase in a dark sky"
0868-10-19,868,2,solar,partial,0.636,Iona,blind,,UT 14:04 at Armagh
0868-11-04,868,4,lunar,total,1.21,Clonmacnoise,blind,,"Moon 43.3 deg up, 1.0 of umbral phase in a dark sky"
0869-04-29,869,,lunar,partial umbral,0.2472,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0870-03-21,870,2,lunar,partial umbral,0.113,Clonmacnoise,blind,,"Moon 29.5 deg up, 1.0 of umbral phase in a dark sky"
0871-03-10,871,6,lunar,total,1.369,Armagh,blind,,"Moon 17.1 deg up, 0.44 of umbral phase in a dark sky"
0871-09-02,871,0,lunar,total,1.122,Clonmacnoise,blind,,"Moon 25.1 deg up, 0.84 of umbral phase in a dark sky"
0872-02-28,872,4,lunar,partial umbral,0.982,Clonmacnoise,blind,,"Moon 32.7 deg up, 0.96 of umbral phase in a dark sky"
0874-12-26,874,0,lunar,total,1.228,Clonmacnoise,blind,,"Moon 53.3 deg up, 1.0 of umbral phase in a dark sky"
0875-01-11,875,2,solar,partial,0.647,Iona,blind,,UT 11:28 at Armagh
0875-06-22,875,,lunar,total,1.8153,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0876-06-10,876,,lunar,partial umbral,0.4395,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0876-12-05,876,3,lunar,partial umbral,0.038,Clonmacnoise,blind,,"Moon 53.4 deg up, 1.0 of umbral phase in a dark sky"
0878-04-20,878,0,lunar,total,1.057,Armagh,blind,,"Moon 5.2 deg up, 0.08 of umbral phase in a dark sky"
0878-10-15,878,3,lunar,total,1.054,Clonmacnoise,blind,,"Moon 37.2 deg up, 1.0 of umbral phase in a dark sky"
0878-10-29,878,3,solar,central,1.025,Armagh,totality-in-ireland,umbral track 15.0 km from the island,UT 13:14 at Armagh
0879-10-04,879,0,lunar,total,1.304,Clonmacnoise,blind,,"Moon 37.0 deg up, 1.0 of umbral phase in a dark sky"
0880-03-30,880,3,lunar,partial umbral,0.017,Clonmacnoise,blind,,"Moon 22.1 deg up, 1.0 of umbral phase in a dark sky"
0881-02-18,881,6,lunar,partial umbral,0.012,Clonmacnoise,blind,,"Moon 44.9 deg up, 1.0 of umbral phase in a dark sky"
0882-02-07,882,3,lunar,total,1.257,Clonmacnoise,blind,,"Moon 50.2 deg up, 1.0 of umbral phase in a dark sky"
0882-08-03,882,5,lunar,total,1.434,Clonmacnoise,blind,,"Moon 19.3 deg up, 1.0 of umbral phase in a dark sky"
0883-01-27,883,0,lunar,total,1.108,Clonmacnoise,blind,,"Moon 54.2 deg up, 1.0 of umbral phase in a dark sky"
0883-07-23,883,,lunar,partial umbral,0.95,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0885-06-16,885,3,solar,central,1.077,Iona,blind,,UT 09:47 at Armagh
0885-11-26,885,5,lunar,total,1.216,Clonmacnoise,blind,,"Moon 57.7 deg up, 1.0 of umbral phase in a dark sky"
0886-05-21,886,,lunar,total,1.7417,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0887-05-11,887,4,lunar,partial umbral,0.383,Clonmacnoise,blind,,"Moon 14.1 deg up, 0.88 of umbral phase in a dark sky"
0889-03-21,889,5,lunar,total,1.286,Clonmacnoise,blind,,"Moon 34.5 deg up, 1.0 of umbral phase in a dark sky"
0889-04-04,889.0,5.0,solar,partial,0.0,-,borrowed-if-recorded,"deep in the Mediterranean, effectively invisible from Ireland","Mediterranean magnitude high, Irish magnitude below 0.20"
0889-09-13,889,6,lunar,total,1.043,Clonmacnoise,blind,,"Moon 24.2 deg up, 0.76 of umbral phase in a dark sky"
0890-09-02,890,,lunar,total,1.3362,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0891-08-08,891,0,solar,partial,0.834,Clonmacnoise,blind,,UT 08:55 at Armagh
0893-01-06,893,6,lunar,total,1.224,Clonmacnoise,blind,,"Moon 39.8 deg up, 1.0 of umbral phase in a dark sky"
0893-07-02,893,1,lunar,total,1.659,Clonmacnoise,blind,,"Moon 13.3 deg up, 0.8 of umbral phase in a dark sky"
0893-12-26,893,3,lunar,total,1.256,Armagh,blind,,"Moon 40.4 deg up, 1.0 of umbral phase in a dark sky"
0894-06-07,894,5,solar,partial,0.864,Iona,local-if-recorded,"deep over Ireland, shallow in the Mediterranean",UT 10:12 at Armagh
0894-06-22,894,6,lunar,partial umbral,0.602,Clonmacnoise,blind,,"Moon 13.1 deg up, 1.0 of umbral phase in a dark sky"
0896-05-01,896,6,lunar,partial umbral,0.943,Clonmacnoise,blind,,"Moon 18.8 deg up, 1.0 of umbral phase in a dark sky"
0897-04-20,897,3,lunar,total,1.48,Armagh,blind,,"Moon 6.2 deg up, 0.08 of umbral phase in a dark sky"
0899-08-24,899,,lunar,partial umbral,0.0152,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0901-08-03,901,1,lunar,total,1.066,Clonmacnoise,blind,,"Moon 19.0 deg up, 1.0 of umbral phase in a dark sky"
0902-12-17,902,5,lunar,partial umbral,0.027,Iona,blind,,"Moon 22.2 deg up, 1.0 of umbral phase in a dark sky"
0903-06-12,903,,lunar,partial umbral,0.3454,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0903-06-27,903,1,solar,partial,0.687,Clonmacnoise,blind,,UT 18:48 at Armagh
0904-06-01,904,5,lunar,total,1.816,Clonmacnoise,blind,,"Moon 13.2 deg up, 0.96 of umbral phase in a dark sky"
0904-11-25,904,0,lunar,total,1.227,Clonmacnoise,blind,,"Moon 55.0 deg up, 1.0 of umbral phase in a dark sky"
0906-04-26,906.0,6.0,solar,partial,0.1119,-,borrowed-if-recorded,"deep in the Mediterranean, effectively invisible from Ireland","Mediterranean magnitude high, Irish magnitude below 0.20"
0908-03-20,908,0,lunar,total,1.137,Clonmacnoise,blind,,"Moon 23.7 deg up, 0.68 of umbral phase in a dark sky"
0908-08-29,908,1,solar,partial,0.656,Iona,blind,,UT 17:24 at Armagh
0908-09-13,908,2,lunar,total,1.415,Clonmacnoise,blind,,"Moon 33.9 deg up, 1.0 of umbral phase in a dark sky"
0909-09-02,909,,lunar,partial umbral,0.1455,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0910-07-24,910,2,lunar,partial umbral,0.161,Clonmacnoise,blind,,"Moon 15.6 deg up, 1.0 of umbral phase in a dark sky"
0911-01-17,911,,lunar,total,1.2121,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
